common.name,species.name,1910,1912,1913,1914,1915,1916,1920,1922,1923,1924,1925,1928,1930,1931,1937,1938,1939,1940,1942,1943,1944,1945,1946,1947,1948,1949,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985
Merlin,Falco columbarius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Peregrine Falcon,Falco peregrinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Kestrel,Falco sparverius,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,1,5,0,2,0,1,0,0,2,0,1,4,5,6,0,0,3,0,3,2,2,11,8,10,8,16,22,12,23,19,30,24,33,19,10,26,15,11,22,27,27,12,7,15
American Coot,Fulica americana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,4,2,0,0,1,0,0,0,0,1,0,4,1,4,0
Wilson's/Common Snipe,Gallinago delicata/gallinago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Common Loon,Gavia immer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Common Yellowthroat,Geothlypis trichas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
House Finch,Haemorhous mexicanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,109,115,532,547,848,881,917,1432
Purple Finch,Haemorhous purpureus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3,0,0,0,0,5,1,55,133,6,26,7,11,33,72,65,111,33,187,72,7,20
Haemorhous sp.,Haemorhous sp.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Bald Eagle,Haliaeetus leucocephalus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blackbird sp.,Icteridae sp.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
Dark-eyed Junco (Oregon),Junco hyemalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,2,1,2,4,2,1,1,1,0,1,0,0,0,1,1,1,1571,1042,1126
Dark-eyed Junco (Slate-colored),Junco hyemalis hyemalis/carolinensis,0,0,0,0,0,0,0,0,0,37,30,0,58,15,116,136,0,49,60,58,62,84,42,104,102,71,164,180,194,234,132,181,235,409,514,360,700,610,490,780,950,900,1100,1300,1200,1842,2036,2254,1947,1136,1762,1524,1430,1676,1272,1737,0,0,0
